question,answer,tags,priority,purpose
"国内送迎プランの条件を教えてください","以下の条件でご利用いただけます：\n\n【サイズ】\n・高さ1.95m以内、幅1.85m以内、長さ5.05m以内の車両（車検証要確認。キャリアやルーフボックスも高さに含まれます）\n\n【利用人数】\n・5名様まで\n\n【料金】\n・基本料金: 1,000円","送迎プラン,国内送迎プラン,条件","高","国内送迎プランの利用条件明確化"
"軽自動車送迎プランの詳細を教えてください","軽自動車を対象とした送迎プランです。\n\n【サイズ】\n・高さ1.95m以内（キャリアやルーフボックスも高さに含まれます）\n\n【料金】\n・基本料金: 1,000円から1日につき100円引き","送迎プラン,軽自動車,割引","高","軽自動車送迎プランの詳細明確化"
"コンパクトカー割引送迎プランの詳細を教えてください","コンパクトカーを対象とした割引送迎プランです。\n\n【利用人数】\n・2名様まで\n\n【料金】\n・基本料金: 1,000円から1日につき100円引き\n\n【対象車種例】\n・トヨタ: ヴィッツ、スペード、アクア\n・ニッサン: マーチ、ノート（※ノートオーラは不可）\n・ホンダ: フリード、フィット（※フィットシャトルは不可）","送迎プラン,コンパクトカー,割引","高","コンパクトカー送迎プランの詳細明確化"
"大型車プランの条件を教えてください","高さ1.95m以上2.1m以下の車両を対象としたプランです。\n\n【サイズ】\n・高さ1.95m以上2.1m以下、幅1.85m以上、長さ5.05m以上の車両\n\n【利用人数】\n・5名様まで\n\n【料金】\n・基本料金に1日につき1,000円追加","送迎プラン,大型車,追加料金","高","大型車プランの条件明確化"
