question,answer,tags,priority,purpose
"送迎人数のルールを教えてください","1台のご予約につき、同乗者様（幼児を含む）5名様までご利用いただけます。\n\n注意事項：\n・送迎車両は10名乗りですが、トラブル防止のため1台あたり5名様までの制限を設けております。\n・6名以上の場合は「ひとり送迎プラン」をご利用ください。","capacity_rules,送迎サービス,人数制限,予約制限","最重要","人数制限ルールの明確化"
"6名以上での利用方法について教えてください","「ひとり送迎プラン」でご利用いただけます。\n\nご利用方法：\n1. 空港で荷物と同乗者様を降ろしていただきます\n2. 駐車場へ来場\n3. 運転手様1名のみを空港まで送迎\n\n※複数台でのご利用の場合も、各車両の運転手様1名ずつの送迎となります。\n※お帰りの際は逆の手順となります。","capacity_rules,送迎サービス,ひとり送迎","最重要","大人数対応の明確化"
"お子様の同乗は可能ですか？","お子様が同乗される場合でも、送迎には問題ございません。1台のご予約につき、同乗者様（お子様含む）5名様までとなります。","capacity_rules,送迎サービス,お子様同乗","最重要","お子様同乗基準の明確化"
"予約内容をひとり送迎に変更できますか？","予約内容の変更についてですが、運転手様のみの「ひとり送迎」に変更することは可能です。\n\nご利用方法：\n1. 空港で荷物と同乗者様を降ろしていただきます\n2. 駐車場へ来場\n3. 運転手様1名のみを空港まで送迎いたします\n\n※お帰りの際は逆の手順となります。","capacity_rules,予約変更,ひとり送迎","最重要","ひとり送迎変更手順の明確化"
"[0-9]+台で[0-9]+名","複数台や大人数でのご利用の場合は「ひとり送迎プラン」のご利用をお願いしております。\n\n送迎の流れ：\n1. 空港で荷物と同乗者を降ろし\n2. 駐車場に移動\n3. 運転手1名のみを空港まで送迎\n\n※送迎車は乗合となります。","capacity_rules,送迎サービス,ひとり送迎,大人数対応","最重要","複数台利用の明確化"
"(?:車椅子|wheelchair).*(?:一人|1人|単独)","車椅子で単独でご利用の場合は、自力で送迎車への乗り降りが可能な方のみとなります。\n\n注意事項：\n・折りたたみ式車椅子のみ対応可能\n・スロープ等の設備はございません\n・ご不安な場合は介助者の同伴をお勧めします。","capacity_rules,送迎サービス,車椅子対応,条件付き対応","高","車椅子利用時の基準明確化"
